============================================================
CICERO: TOP PAIRS by FREQUENCY (Raw Count)
============================================================

Pair                           | Count
------------------------------------------------------------
('publicus', 'res')            |   162
('non', 'possum')              |   161
('non', 'res')                 |   152
('non', 'scribo')              |   147
('non', 'video')               |   145
('greek.expression', 'non')    |   136
('non', 'quam')                |   124
('res', 'scribo')              |   123
('facio', 'non')               |   117
('enim', 'non')                |   111
('etiam', 'non')               |   109
('ne', 'non')                  |   109
('greek.expression', 'video')  |    99
('non', 'ut')                  |    94
('scribo', 'video')            |    91
('non', 'tamen')               |    90
('do', 'littera')              |    90
('do', 'scribo')               |    90
('greek.expression', 'scribo') |    88
('habeo', 'non')               |    88
('scribo', 'ut')               |    86
('dico', 'non')                |    86
('enim', 'greek.expression')   |    85
('res', 'video')               |    83
('littera', 'scribo')          |    83
('quam', 'res')                |    82
('greek.expression', 'ut')     |    81
('ne', 'possum')               |    80
('non', 'puto')                |    80
('quam', 'video')              |    79
('scribo', 'volo')             |    77
('non', 'volo')                |    76
('littera', 'non')             |    75
('do', 'non')                  |    75
('nam', 'non')                 |    73
('modo', 'non')                |    73
('ne', 'scribo')               |    73
('quam', 'scribo')             |    72
('possum', 'res')              |    71
('ago', 'res')                 |    70
('habeo', 'res')               |    69
('possum', 'video')            |    68
('ne', 'res')                  |    67
('habeo', 'scribo')            |    67
('facio', 'res')               |    65
('ne', 'video')                |    64
('magnus', 'non')              |    64
('enim', 'video')              |    63
('etiam', 'greek.expression')  |    63
('enim', 'ne')                 |    63
('facio', 'scribo')            |    62
('enim', 'res')                |    62
('ne', 'quidem')               |    62
('possum', 'quam')             |    61
('non', 'quidem')              |    60
('res', 'volo')                |    59
('enim', 'scribo')             |    59
('etiam', 'res')               |    58
('quam', 'tam')                |    58
('greek.expression', 'volo')   |    58
('ago', 'non')                 |    58
('quam', 'volo')               |    57
('res', 'ut')                  |    57
('greek.expression', 'possum') |    57
('res', 'senatus')             |    56
('facio', 'volo')              |    56
('non', 'scio')                |    56
('autem', 'non')               |    55
('homo', 'non')                |    54
('non', 'venio')               |    54
('greek.expression', 'quam')   |    54
('facio', 'possum')            |    54
('bonus', 'non')               |    54
('habeo', 'possum')            |    53
('non', 'tam')                 |    53
('ita', 'res')                 |    52
('scio', 'scribo')             |    52
('possum', 'scribo')           |    52
('dico', 'res')                |    51
('possum', 'volo')             |    51
('etiam', 'scribo')            |    51
('etiam', 'quam')              |    50
('ita', 'non')                 |    50
('greek.expression', 'puto')   |    50
('enim', 'possum')             |    50
('habeo', 'ne')                |    50
('iam', 'non')                 |    50
('dico', 'greek.expression')   |    50
('puto', 'scribo')             |    49
('res', 'scio')                |    49
('facio', 'greek.expression')  |    49
('greek.expression', 'res')    |    49
('scribo', 'tamen')            |    49
('res', 'tamen')               |    48
('ago', 'video')               |    48
('littera', 'res')             |    48
('dico', 'ne')                 |    47
('ut', 'video')                |    47
('facio', 'quam')              |    47
('non', 'publicus')            |    47
('possum', 'tamen')            |    46
('dico', 'possum')             |    46
('puto', 'quam')               |    46
('scribo', 'venio')            |    46
('multus', 'non')              |    46
('do', 'res')                  |    46
('ne', 'quam')                 |    45
('non', 'nunc')                |    45
('habeo', 'quam')              |    45
('fero', 'non')                |    45
('pompeius', 'res')            |    45
('enim', 'quam')               |    44
('etiam', 'ne')                |    44
('consultum', 'senatus')       |    44
('non', 'senatus')             |    44
('greek.expression', 'nam')    |    44
('etiam', 'video')             |    43
('quam', 'tamen')              |    43
('scio', 'volo')               |    43
('ne', 'scio')                 |    43
('greek.expression', 'littera') |    43
('autem', 'res')               |    43
('iam', 'res')                 |    42
('puto', 'volo')               |    42
('multus', 'res')              |    42
('ita', 'scribo')              |    42
('enim', 'volo')               |    42
('do', 'ne')                   |    42
('greek.expression', 'habeo')  |    42
('ut', 'volo')                 |    41
('enim', 'facio')              |    41
('littera', 'ne')              |    41
('consilium', 'non')           |    41
('ago', 'scribo')              |    41
('greek.expression', 'quidem') |    41
('littera', 'ut')              |    40
('littera', 'volo')            |    40
('frater', 'quintus')          |    39
('tamen', 'video')             |    39
('dico', 'scribo')             |    39
('facio', 'ut')                |    39
('greek.expression', 'homo')   |    39
('littera', 'roma')            |    39
('etiam', 'facio')             |    39
('facio', 'puto')              |    39
('facio', 'video')             |    39
('epistula', 'scribo')         |    39
('nunc', 'res')                |    38
('non', 'pompeius')            |    38
('enim', 'etiam')              |    38
('causa', 'non')               |    38
('littera', 'mitto')           |    38
('iam', 'scribo')              |    38
('greek.expression', 'scio')   |    38
('magis', 'quam')              |    38
('iam', 'possum')              |    37
('autem', 'video')             |    37
('multus', 'scribo')           |    37
('multus', 'video')            |    37
('causa', 'possum')            |    37
('littera', 'quam')            |    37
('dies', 'non')                |    37
('greek.expression', 'ne')     |    37
('habeo', 'video')             |    36
