============================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (138 files)
============================================================

Target Check: ('timor', 'afficio') = 0

Pair                           | Count
------------------------------------------------------------
(',', 'sum')                   |  2387
(',', 'qui')                   |  2347
(',', 'et')                    |  1306
(',', 'is')                    |  1211
(',', 'ut')                    |  1072
(',', 'in')                    |  1041
(',', '.')                     |  1016
(',', 'non')                   |   867
('.', 'sum')                   |   757
('qui', 'sum')                 |   744
(',', 'cum')                   |   682
(',', 'ego')                   |   655
(',', 'dico')                  |   592
(',', 'hic')                   |   583
('(', ')')                     |   580
(')', '.')                     |   569
(',', 'tu')                    |   560
('(', '.')                     |   541
(',', 'si')                    |   535
(',', 'ille')                  |   524
('et', 'sum')                  |   491
('in', 'sum')                  |   471
(',', ';')                     |   471
(',', 'sed')                   |   468
('is', 'sum')                  |   442
(',', 'quod')                  |   442
('is', 'qui')                  |   435
(',', 'res')                   |   431
('.', 'et')                    |   428
(',', 'ad')                    |   386
(',', 'possum')                |   375
(',', 'ab')                    |   363
(',', 'etiam')                 |   363
('.', 'qui')                   |   357
(',', 'omnis')                 |   350
(',', 'inquam')                |   348
('et', 'qui')                  |   343
(';', 'sum')                   |   340
('in', 'qui')                  |   331
('.', 'in')                    |   330
(',', 'ipse')                  |   320
('.', 'hic')                   |   304
(',', 'de')                    |   298
('non', 'sum')                 |   291
('et', 'in')                   |   290
(',', 'multus')                |   276
(',', 'quis')                  |   270
(',', 'ex')                    |   265
(',', 'habeo')                 |   261
(')', ',')                     |   259
(',', 'tamen')                 |   259
(',', 'quam')                  |   256
('.', 'is')                    |   252
(',', 'sui')                   |   251
(',', 'quidem')                |   247
('hic', 'sum')                 |   246
(',', 'tuus')                  |   241
('cum', 'sum')                 |   238
('dico', 'sum')                |   234
(',', ':')                     |   232
(',', 'aut')                   |   228
(',', '?')                     |   225
('et', 'is')                   |   224
('sum', 'ut')                  |   224
('.', 'non')                   |   214
('.', 'dico')                  |   210
(',', 'facio')                 |   209
(',', 'nihil')                 |   206
('in', 'is')                   |   202
(',', 'magnus')                |   200
('(', 'sum')                   |   200
(')', 'sum')                   |   200
('.', 'ego')                   |   199
(',', 'homo')                  |   197
(',', 'idem')                  |   197
(';', 'qui')                   |   197
(',', 'autem')                 |   193
('ego', 'sum')                 |   192
(';', 'et')                    |   188
(',', 'alius')                 |   186
('.', 'sed')                   |   184
(',', 'enim')                  |   183
('enim', 'sum')                |   182
('non', 'qui')                 |   182
('dico', 'qui')                |   182
(',', 'modus')                 |   181
('cum', 'et')                  |   180
(',', 'atque')                 |   180
('.', 'enim')                  |   179
('.', 'cum')                   |   177
(',', 'ita')                   |   172
(',', 'noster')                |   171
('ille', 'qui')                |   170
(',', 'video')                 |   170
('(', ',')                     |   168
(',', 'nec')                   |   165
('ille', 'sum')                |   165
(',', 'tum')                   |   165
(',', 'causa')                 |   165
('si', 'sum')                  |   163
('dico', 'et')                 |   157
(',', 'scribo')                |   156
('quod', 'sum')                |   156
('et', 'hic')                  |   155
(',', 'ne')                    |   154
('.', 'ille')                  |   154
(',', 'nos')                   |   153
(',', 'beatus')                |   152
(',', 'animus')                |   151
(',', 'suus')                  |   151
('cum', 'qui')                 |   149
('sum', 'tu')                  |   148
