============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
------------------------------------------------------------
('publicus', 'res')            |   134
('non', 'possum')              |    87
('non', 'scribo')              |    62
('modo', 'non')                |    47
('enim', 'non')                |    47
('scribo', 'ut')               |    47
('non', 'video')               |    45
('do', 'littera')              |    43
('facio', 'non')               |    43
('habeo', 'non')               |    41
('ne', 'quidem')               |    41
('res', 'scribo')              |    40
('non', 'quam')                |    39
('enim', 'greek.expression')   |    38
('non', 'res')                 |    37
('frater', 'quintus')          |    36
('quam', 'tam')                |    36
('non', 'tamen')               |    36
('quam', 'video')              |    35
('etiam', 'non')               |    35
('ne', 'possum')               |    33
('greek.expression', 'non')    |    33
('quare', 're')                |    33
('ne', 'non')                  |    33
('quam', 'res')                |    33
('consultum', 'senatus')       |    33
('non', 'puto')                |    31
('greek.expression', 'video')  |    31
('plebs', 'tribunus')          |    30
('scribo', 'volo')             |    30
('cum', 'tum')                 |    29
('hercule', 'mehercule')       |    29
('possum', 'quam')             |    28
('ago', 'res')                 |    28
('enim', 'video')              |    28
('littera', 'scribo')          |    28
('do', 'scribo')               |    28
('dico', 'non')                |    28
('facio', 'possum')            |    27
('nam', 'non')                 |    27
('littera', 'mitto')           |    26
('possum', 'video')            |    25
('enim', 'ne')                 |    25
('habeo', 'ne')                |    25
('habeo', 'scribo')            |    25
('scio', 'volo')               |    25
('quam', 'scribo')             |    25
('do', 'non')                  |    25
('greek.expression', 'ut')     |    25
('greek.expression', 'scribo') |    25
('dico', 'greek.expression')   |    25
('non', 'ut')                  |    24
('quam', 'volo')               |    24
('magis', 'quam')              |    24
('facio', 'volo')              |    24
('res', 'video')               |    23
('non', 'venio')               |    23
('enim', 'scribo')             |    23
('autem', 'non')               |    23
('ut', 'video')                |    23
('scribo', 'video')            |    23
('ne', 'res')                  |    22
('possum', 'res')              |    22
('fero', 'non')                |    22
('bonus', 'non')               |    22
('non', 'volo')                |    22
('ne', 'scribo')               |    22
('habeo', 'res')               |    21
('exspecto', 'littera')        |    21
('ne', 'video')                |    21
('etiam', 'scribo')            |    21
('ut', 'volo')                 |    21
('non', 'tam')                 |    21
('littera', 'non')             |    21
('pompeius', 'res')            |    21
('magnus', 'non')              |    21
('dico', 'ne')                 |    20
('etiam', 'modo')              |    20
('ita', 'res')                 |    20
('homo', 'non')                |    20
('possum', 'scribo')           |    20
('facio', 'quam')              |    20
('multus', 'scribo')           |    20
('enim', 'possum')             |    20
('ago', 'scio')                |    20
('multus', 'res')              |    19
('ita', 'scribo')              |    19
('certus', 'facio')            |    19
('greek.expression', 'possum') |    19
('nunc', 'res')                |    18
('iam', 'res')                 |    18
('multus', 'quam')             |    18
('dubito', 'non')              |    18
('dies', 'do')                 |    18
