============================================================
CICERO: TOP COLLOCATIONS by PMI (Inseparability)
============================================================

Collocation                    | PMI        | Count
------------------------------------------------------------
('menelaus', 'pastor')         |      11.63 |     3
('idaeus', 'menelaus')         |      11.63 |     3
('derogo', 'obrogo')           |      11.22 |     3
('britannia', 'obses')         |      11.22 |     3
('acceptum', 'quotiens')       |      11.22 |     3
('coniunx', 'quotiens')        |      11.22 |     3
('februar', 'laenius')         |      10.90 |     3
('ceno', 'deversorium')        |      10.63 |     3
('abrogo', 'saepio')           |      10.50 |     5
('aquinum', 'arcanum')         |      10.46 |     4
('artavasdes', 'cappadocia')   |      10.41 |     3
('commentarium', 'graece')     |      10.22 |     3
('abrogatio', 'abrogo')        |      10.17 |     4
('divortium', 'menelaus')      |      10.05 |     3
('minus', 'nihilominus')       |      10.05 |     3
('antiochus', 'gabinius')      |      10.05 |     3
('gabinius', 'sopolis')        |      10.05 |     3
('gabinius', 'pictor')         |      10.05 |     3
('aphractum', 'rhodius')       |      10.05 |     3
('iussus', 'scitus')           |       9.90 |     3
('apamea', 'triduum')          |       9.90 |     3
('synnada', 'triduum')         |       9.90 |     3
('curro', 'ingredior')         |       9.83 |     4
('comparo', 'moenia')          |       9.63 |     3
('demonsto', 'unus')           |       9.63 |     3
('introeo', 'septimus')        |       9.63 |     3
('brundisinus', 'natalis')     |       9.63 |     3
('britannia', 'praeda')        |       9.63 |     3
('cilicia', 'pyla')            |       9.63 |     3
('cente(n)simus', 'quaterni')  |       9.63 |     3
('abrogo', 'difficultas')      |       9.50 |     5
('armenius', 'cappadocia')     |       9.41 |     3
('cappadocia', 'excludo')      |       9.41 |     3
('cyprius', 'insula')          |       9.31 |     3
('cappadocia', 'cybistra')     |       9.24 |     4
('atticus', 'mel')             |       9.22 |     3
('marianus', 'rex')            |       9.22 |     3
('quousque', 'rex')            |       9.22 |     3
('censor', 'proavus')          |       9.22 |     3
('quotiens', 'totie(n)s')      |       9.22 |     3
('noctu', 'septimus')          |       9.05 |     3
('pontius', 'trebulanus')      |       8.99 |     4
('derogo', 'promulgo')         |       8.90 |     3
('obrogo', 'promulgo')         |       8.90 |     3
('clementer', 'solvo')         |       8.90 |     3
('centesima', 'solvo')         |       8.90 |     3
('capitolium', 'plausus')      |       8.83 |     3
('abstinentia', 'iustitia')    |       8.83 |     3
('quid', 'taceo')              |       8.76 |     3
('abrogo', 'derogo')           |       8.76 |     3
('abrogo', 'obrogo')           |       8.76 |     3
('cyprus', 'salaminii')        |       8.73 |     4
('aqua', 'arpinas')            |       8.63 |     4
('introduco', 'vettius')       |       8.63 |     3
('liberi', 'pecco')            |       8.63 |     3
('brundisinus', 'gratulatio')  |       8.63 |     3
('cente(n)simus', 'impudens')  |       8.63 |     3
('bini', 'trebulanus')         |       8.57 |     3
('syria', 'taurus')            |       8.57 |     3
('brutus', 'impingo')          |       8.57 |     3
('contemno', 'menelaus')       |       8.46 |     3
('accurro', 'necesse')         |       8.41 |     3
('orodes', 'parthus')          |       8.35 |     4
('ad', 'quemadmodum')          |       8.31 |    10
('modum', 'quemadmodum')       |       8.31 |    10
('ad', 'modum')                |       8.31 |    10
('moror', 'triduum')           |       8.31 |     3
('matinius', 'salaminii')      |       8.31 |     3
('commendo', 'matinius')       |       8.31 |     3
('allium', 'iudex')            |       8.26 |     3
('contentus', 'impudens')      |       8.22 |     3
('impudens', 'stultus')        |       8.22 |     3
('kal', 'obnuntio')            |       8.17 |     3
('diligentia', 'miserabilis')  |       8.13 |     3
('spatium', 'via')             |       8.13 |     3
('loco', 'porticus')           |       8.09 |     3
('nitor', 'unus')              |       8.05 |     3
('pugio', 'vettius')           |       8.05 |     3
('catulus', 'porticus')        |       7.99 |     4
('neque', 'recingo')           |       7.99 |     4
('campus', 'obnuntio')         |       7.93 |     3
('aquinum', 'postridie')       |       7.93 |     3
('debeo', 'perduco')           |       7.93 |     3
('matinius', 'scaptius')       |       7.91 |     5
('solvo', 'tributum')          |       7.90 |     3
('solvo', 'sors')              |       7.90 |     3
('accusator', 'reus')          |       7.85 |     4
('collega', 'religio')         |       7.85 |     4
('bonum', 'magister')          |       7.83 |     3
('aspicio', 'offero')          |       7.83 |     3
('cappadocia', 'cilicia')      |       7.83 |     6
('erogo', 'nummus')            |       7.83 |     3
('iudicium', 'plumbeus')       |       7.83 |     3
('caecilius', 'satyrus')       |       7.76 |     3
('civilis', 'pax')             |       7.76 |     3
('beneficium', 'quotiens')     |       7.76 |     3
('orbis', 'terra')             |       7.73 |     3
('mors', 'privo')              |       7.73 |     3
('cilicia', 'taurus')          |       7.73 |     4
('mare', 'terra')              |       7.73 |     3
('cappadocia', 'parthus')      |       7.71 |     6
('consulatus', 'graece')       |       7.70 |     6
('erratum', 'metellus')        |       7.70 |     3
('ambitio', 'unus')            |       7.63 |     3
('amicitia', 'remitto')        |       7.63 |     3
('curio', 'introduco')         |       7.63 |     3
('britannia', 'impero')        |       7.63 |     3
('castra', 'iconium')          |       7.63 |     3
('cente(n)simus', 'contentus') |       7.63 |     3
('cente(n)simus', 'stultus')   |       7.63 |     3
('edictum', 'usura')           |       7.63 |     3
('inquam', 'opertum')          |       7.60 |     3
('calidus', 'inquam')          |       7.60 |     3
('inquam', 'marianus')         |       7.60 |     3
('inquam', 'quousque')         |       7.60 |     3
('furnius', 'inanis')          |       7.57 |     3
('brutus', 'quaternus')        |       7.57 |     3
('honestum', 'neque')          |       7.57 |     3
('fasti', 'paucus')            |       7.55 |     3
('credo', 'pragmaticus')       |       7.55 |     3
('aes', 'alienus')             |       7.55 |     5
('catilina', 'profugio')       |       7.52 |     3
('sumptus', 'terruncius')      |       7.52 |     3
('derogo', 'licet')            |       7.50 |     4
('licet', 'obrogo')            |       7.50 |     4
('afficio', 'voluptas')        |       7.50 |     4
('convicium', 'plenus')        |       7.50 |     5
('caedes', 'incendium')        |       7.46 |     5
('ianuarius', 'mensis')        |       7.46 |     5
('iunias', 'thessalonica')     |       7.46 |     3
('ignosco', 'pecco')           |       7.46 |     3
('condemno', 'gabinius')       |       7.46 |     3
('achaia', 'proficiscor')      |       7.44 |     3
('hostis', 'syria')            |       7.44 |     3
('proficiscor', 'sicyon')      |       7.44 |     3
('sordidus', 'tam')            |       7.43 |     5
('praecise', 'tam')            |       7.43 |     5
('aspicio', 'luctus')          |       7.41 |     3
('patria', 'quotiens')         |       7.41 |     3
('menelaus', 'solum')          |       7.39 |     3
('milo', 'obnuntio')           |       7.39 |     3
('cicero', 'inpono')           |       7.36 |     3
('egredior', 'vox')            |       7.31 |     3
('exsilium', 'invidia')        |       7.31 |     4
('absolvo', 'accusator')       |       7.31 |     4
('difficilis', 'palam')        |       7.31 |     3
('cilicia', 'tarsus')          |       7.31 |     3
('brutus', 'praefectura')      |       7.31 |     5
('bibulus', 'pugio')           |       7.29 |     4
('pars', 'repugno')            |       7.26 |     3
('graecus', 'latinus')         |       7.24 |     4
('pontifex', 'sequor')         |       7.24 |     5
('gravis', 'iconium')          |       7.24 |     3
('adeo', 'legatus')            |       7.22 |     3
('luctus', 'maeror')           |       7.22 |     3
('idus', 'vi')                 |       7.22 |     3
('maias', 'vi')                |       7.22 |     3
('contentus', 'stultus')       |       7.22 |     3
('deus', 'immortalis')         |       7.20 |     5
('publice', 'sumptus')         |       7.20 |     3
('gravitas', 'plenus')         |       7.17 |     4
('ager', 'campanus')           |       7.17 |     5
('iiii', 'kal')                |       7.17 |     4
('abrogo', 'observo')          |       7.17 |     4
('populus', 'scitus')          |       7.17 |     3
('cyprus', 'scaptius')         |       7.17 |     3
('scaptius', 'subduco')        |       7.17 |     3
('consultum', 'quaternus')     |       7.17 |     3
('corfinium', 'ecce')          |       7.17 |     3
('insignis', 'praeterea')      |       7.13 |     3
('imago', 'metellus')          |       7.11 |     3
('pomponius', 'titus')         |       7.09 |     3
('gallia', 'legatus')          |       7.05 |     4
('impono', 'vulnus')           |       7.05 |     3
('absolvo', 'condemno')        |       7.05 |     4
('inde', 'ventus')             |       7.05 |     3
('curio', 'plaudo')            |       7.05 |     3
('fallo', 'morior')            |       7.05 |     4
('ius', 'syngrapha')           |       7.02 |     7
('salaminii', 'scaptius')      |       7.02 |     9
('condicio', 'pax')            |       7.00 |     4
('porticus', 'restituo')       |       6.99 |     3
('lucius', 'subscribo')        |       6.97 |     3
('ius', 'suscenseo')           |       6.97 |     3
('ius', 'veto')                |       6.97 |     3
('monetary.expression', 'rescribo') |       6.96 |     4
('pes', 'unde')                |       6.95 |     3
('pontifex', 'religio')        |       6.95 |     3
('reus', 'scaurus')            |       6.95 |     3
('dissimulo', 'metuo')         |       6.93 |     3
('cilicia', 'parthus')         |       6.93 |     6
('ceno', 'quasi')              |       6.93 |     3
('messalla', 'scaurus')        |       6.92 |     4
('iiii', 'pompeianus')         |       6.90 |     3
('adimo', 'brundisium')        |       6.90 |     3
('idus', 'trebulanus')         |       6.90 |     3
('idus', 'pontius')            |       6.90 |     3
('maias', 'trebulanus')        |       6.90 |     3
('maias', 'pontius')           |       6.90 |     3
('institutum', 'solvo')        |       6.90 |     3
('laenius', 'laodicea')        |       6.90 |     3
('et', 'laudator')             |       6.88 |     3
('marcus', 'matinius')         |       6.88 |     3
('gabinius', 'syngrapha')      |       6.88 |     3
('abrogo', 'promulgo')         |       6.85 |     4
('gaudeo', 'laetor')           |       6.83 |     3
('antium', 'nonas')            |       6.83 |     3
('antium', 'specto')           |       6.83 |     3
('candidatus', 'scaurus')      |       6.83 |     3
('memmius', 'xeno')            |       6.83 |     3
('memmius', 'patro')           |       6.83 |     3
('cappadocia', 'castra')       |       6.83 |     4
('britannia', 'pecunia')       |       6.83 |     3
('auctor', 'flavius')          |       6.81 |     3
('campus', 'kal')              |       6.80 |     5
('kal', 'nox')                 |       6.80 |     5
('bellum', 'civilis')          |       6.78 |     4
('ager', 'divido')             |       6.76 |     3
('plebs', 'scitus')            |       6.76 |     3
('eodem', 'plenus')            |       6.76 |     3
('hercule', 'mehercule')       |       6.73 |    29
('deus', 'pugna')              |       6.73 |     3
('aulius', 'filius')           |       6.73 |     3
('pecco', 'restituo')          |       6.73 |     3
('gabinius', 'hora')           |       6.73 |     3
('etsi', 'terra')              |       6.73 |     3
('filius', 'orodes')           |       6.73 |     3
('denique', 'laenius')         |       6.73 |     3
('mensis', 'taurus')           |       6.73 |     3
('iunius', 'mensis')           |       6.73 |     3
('graeci', 'sequor')           |       6.73 |     3
('cohors', 'corfinium')        |       6.73 |     3
('ample', 'cohors')            |       6.73 |     3
('exercitus', 'syria')         |       6.73 |     4
('affligo', 'aspicio')         |       6.71 |     3
('consulatus', 'scriptum')     |       6.70 |     3
