================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
--------------------------------------------------------------------------------
("'miser", "crassus'")                   |      15.96 |     8
('disputations', 'tusculo')              |      14.64 |     5
('tusculo', 'tvscvlanaris')              |      14.64 |     5
('dispvtatio', 'tusculo')                |      14.64 |     5
('disputations', 'tvscvlanaris')         |      14.64 |     5
('disputations', 'dispvtatio')           |      14.64 |     5
('dispvtatio', 'tvscvlanaris')           |      14.64 |     5
('/deion', 'hrakleus')                   |      14.64 |     5
('cciduc', 'dlx')                        |      14.15 |     5
('codex', 'cusanus')                     |      14.08 |    15
('ianuarias', 'kaleo')                   |      13.96 |     7
('apius', 'examen')                      |      13.96 |     5
('heraclides', 'ponticus')               |      13.70 |     5
('adhibuo', 'convalescis')               |      13.64 |     6
('propraes', 'thermum')                  |      13.53 |     5
('fur', 'sacrilegus')                    |      13.37 |     5
('calliphus', 'diodorus')                |      13.37 |     5
('antones', 'philippis')                 |      13.15 |    13
('philippica', 'philippis')              |      13.15 |    13
('antones', 'philippica')                |      13.15 |    14
('fulgeo', 'tono')                       |      13.15 |     5
('aemulor', 'obtrecto')                  |      13.15 |     5
('attice', 'decimvs')                    |      13.15 |     5
('desig', 'impae')                       |      13.01 |     7
('epistularis', 'tullum')                |      12.96 |    10
('"ex', 'adhibuo')                       |      12.96 |     5
('nemor', 'pelius')                      |      12.89 |     5
('acilius', 'proconsulus')               |      12.81 |     9
('iugerum', 'medimnus')                  |      12.74 |     5
('ear', 'q.')                            |      12.71 |     5
('capitolinus', 'clivus')                |      12.60 |     7
('egoro', 'iaha')                        |      12.60 |     7
('decimvs', 'epistvlar')                 |      12.57 |    10
('demetrius', 'phalereus')               |      12.51 |     9
('accessus', 'recessus')                 |      12.45 |     8
('attentus', 'docilis')                  |      12.44 |     7
('pestilens', 'saluber')                 |      12.37 |     5
('adhibuo', 'convalisco')                |      12.37 |     5
('immolo', 'vitulum')                    |      12.37 |     7
('attice', 'epistvlar')                  |      12.34 |     6
('ephor', 'theopompus')                  |      12.32 |     6
('milio', 'septio')                      |      12.30 |     5
('aedilus', 'curulus')                   |      12.24 |     8
('aelis', 'fufia')                       |      12.23 |     5
('polemus', 'xenocratus')                |      12.15 |     5
('apollus', 'pythus')                    |      12.02 |     5
('bas', 'egoro')                         |      11.95 |     7
('approbatio', 'assumptio')              |      11.93 |    29
('epaminondus', 'thebanus')              |      11.87 |     6
('depulsio', 'intentio')                 |      11.85 |    11
('fidus', 'tibium')                      |      11.84 |     5
('cerebrum', 'cor')                      |      11.82 |     6
('adprobatio', 'propositio')             |      11.81 |    14
('neptunus', 'theseus')                  |      11.76 |     6
('adsumptio', 'propositio')              |      11.74 |     5
('aquinus', 'arcanus')                   |      11.65 |     5
('longo', 'vallus')                      |      11.57 |    10
('adoptio', 'adopto')                    |      11.57 |     5
('castor', 'pollux')                     |      11.53 |     8
('equitas', 'peditas')                   |      11.53 |     5
('aeque', 'incontens')                   |      11.52 |     6
('bas', 'iaha')                          |      11.49 |     9
('legium', 'martius')                    |      11.47 |    15
('campus', 'vaticanus')                  |      11.42 |     6
('anulus', 'aureum')                     |      11.39 |     5
('uirtus', 'uitium')                     |      11.36 |     6
('conquestio', 'indignatio')             |      11.32 |     8
('cerus', 'henna')                       |      11.32 |     7
('cyrus', 'xenophons')                   |      11.28 |     5
('i.', 'salieltia')                      |      11.22 |    19
('dilucidus', 'illuster')                |      11.22 |     7
('arius', 'focus')                       |      11.16 |     7
('canicula', 'fabius')                   |      11.13 |     6
('convalescis', 'medicus')               |      11.13 |     5
('approbatio', 'propositio')             |      11.12 |    19
("'sus", 'canicula')                     |      11.12 |     5
('ccciccx', 'iccc')                      |      11.11 |     6
('percudio', 'securus')                  |      11.11 |     5
('columna', 'perpendiculum')             |      11.11 |     5
('contestor', 'lis')                     |      11.09 |     6
('praetexta', 'toga')                    |      11.08 |     8
('coruncanius', 'curius')                |      11.07 |     5
('codix', 'expenio')                     |      11.05 |     5
('ambo', 'hirtius')                      |      11.02 |     6
('vestalis', 'virgo')                    |      10.98 |    14
('diurnus', 'nocturnus')                 |      10.96 |     9
('dexter', 'sinister')                   |      10.95 |    14
('constitutio', 'translativa')           |      10.94 |     8
('ccciccx', 'fannio')                    |      10.92 |     7
('secvnda', 'verra')                     |      10.90 |    10
('isara', 'pons')                        |      10.90 |     5
('fabrum', 'praefectus')                 |      10.86 |     6
('emptor', 'venditor')                   |      10.85 |    10
('caedo', 'virium')                      |      10.83 |     8
('gladius', 'vagina')                    |      10.82 |     7
('geometria', 'musicus')                 |      10.81 |     7
('aristippus', 'hieronymus')             |      10.79 |     5
('modius', 'triticum')                   |      10.76 |    26
('cantus', 'volatus')                    |      10.68 |     5
('recuperator', 'scandiliter')           |      10.65 |     5
('iuger', 'professio')                   |      10.62 |     5
('frons', 'supercilium')                 |      10.62 |     5
('exsules', 'reduco')                    |      10.61 |     5
('averto', 'omen')                       |      10.60 |    11
