============================================================
CICERO: TOP TRIGRAMS by FREQUENCY
============================================================

Trigram                                       | Count
------------------------------------------------------------
('quemadmodum', 'ad', 'modum')                |    10
('video', 'res', 'publicus')                  |     4
('ut', 'opinor', 'greek.expression')          |     4
('res', 'sic', 'habeo')                       |     4
('res', 'publicus', 'causa')                  |     4
('ut', 'scribo', 'ita')                       |     4
('senatus', 'consultum', 'facio')             |     4
('senatus', 'consultum', 'consul')            |     4
('non', 'mehercule', 'hercule')               |     4
('neque', 'res', 'publicus')                  |     4
('res', 'publicus', 'habeo')                  |     3
('quam', 'primum', 'venio')                   |     3
('facio', 'senatus', 'consultum')             |     3
('res', 'publicus', 'nunc')                   |     3
('res', 'publicus', 'scribo')                 |     3
('tribunatus', 'plebs', 'peto')               |     3
('magnus', 'res', 'publicus')                 |     3
('res', 'publicus', 'quam')                   |     3
('ut', 'antea', 'scribo')                     |     3
('res', 'publicus', 'ne')                     |     3
('quare', 're', 'advolo')                     |     3
('fio', 'senatus', 'consultum')               |     3
('curo', 'valeo', 'do')                       |     3
('res', 'publicus', 'non')                    |     3
('habeo', 'mehercule', 'hercule')             |     3
('vi', 'idus', 'maias')                       |     3
('do', 'non', 'accipio')                      |     3
('commoveo', 'res', 'publicus')               |     2
('consul', 'res', 'publicus')                 |     2
('intellego', 'res', 'publicus')              |     2
('res', 'publicus', 'video')                  |     2
('greek.expression', 'video', 'enim')         |     2
('gratia', 'non', 'modo')                     |     2
('video', 'quare', 're')                      |     2
('mensis', 'ianuarius', 'exspecto')           |     2
('quare', 're', 'volo')                       |     2
('volo', 'ut', 'scribo')                      |     2
('quare', 're', 'non')                        |     2
('certus', 'facio', 'do')                     |     2
('facio', 'do', 'littera')                    |     2
('habeo', 'scribo', 'etiam')                  |     2
('ut', 'scribo', 'curo')                      |     2
('locus', 'non', 'ignoro')                    |     2
('facio', 'quam', 'diligenter')               |     2
('quam', 'diligenter', 'certus')              |     2
('do', 'opera', 'quam')                       |     2
('opera', 'quam', 'primum')                   |     2
('quam', 'primum', 'mitto')                   |     2
('scio', 'quomodo', 'modo')                   |     2
('postea', 'vero', 'quam')                    |     2
('tribunus', 'plebs', 'fero')                 |     2
('senatus', 'consultum', 'fero')              |     2
('res', 'publicus', 'status')                 |     2
('quamobrem', 'ob', 'rem')                    |     2
('quare', 're', 'ut')                         |     2
('scribo', 'non', 'habeo')                    |     2
('ne', 'satis', 'scio')                       |     2
('multus', 'etiam', 'mitto')                  |     2
('nam', 'quintus', 'frater')                  |     2
('scribo', 'vereor', 'enim')                  |     2
('amans', 'consilium', 'sermo')               |     2
('credo', 'enim', 'audio')                    |     2
('explico', 'non', 'possum')                  |     2
('possum', 'quare', 're')                     |     2
('quare', 're', 'exspecto')                   |     2
('herennius', 'tribunus', 'plebs')            |     2
('puto', 'nunc', 'video')                     |     2
('res', 'publicus', 'retineo')                |     2
('autem', 'res', 'sic')                       |     2
('nescio', 'res', 'publicus')                 |     2
('etiam', 'res', 'publicus')                  |     2
('res', 'publicus', 'puto')                   |     2
('quam', 'res', 'publicus')                   |     2
('commentarium', 'consulatus', 'graece')      |     2
('greek.expression', 'non', 'modo')           |     2
('scribo', 'antea', 'non')                    |     2
('non', 'magnus', 'opus')                     |     2
('liber', 'lucius', 'cossinius')              |     2
('tribunus', 'plebs', 'fio')                  |     2
('publicus', 'quin', 'etiam')                 |     2
('res', 'publicus', 'defendo')                |     2
('multus', 'scribo', 'greek.expression')      |     2
('fio', 'possum', 'ne')                       |     2
('ut', 'soleo', 'diligenter')                 |     2
