============================================================
LATIN TREEBANK ANALYSIS (Perseus + PROIEL)
Source: High-quality hand-annotated lemmas (CoNLL-U)
============================================================

Total Filtered Tokens: 140927

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 5)
------------------------------------------------------------
Collocation                    | PMI        | Count
------------------------------------------------------------
('quamobrem', 'ob')            |      12.31 |     7
('quamobrem', 'rem')           |      12.31 |     7
('ob', 'rem')                  |      12.31 |     7
('nihilominus', 'minus')       |      12.31 |     7
('transmigratio', 'babylon')   |      12.24 |     6
('tyros', 'sidon')             |      11.37 |     9
('fletus', 'stridor')          |      10.95 |     7
('testaceus', 'pavimentum')    |      10.73 |     6
('granum', 'sinapi')           |      10.61 |     5
('ad', 'modum')                |      10.59 |    16
('cornu', 'diadema')           |      10.44 |     5
('stridor', 'dens')            |      10.43 |     7
('nonnullus', 'nullis')        |      10.42 |     5
('nonnullus', 'nulli')         |      10.42 |     6
('tribus', 'beniamin')         |      10.31 |     5
('titurius', 'sabinus')        |      10.27 |     5
('humilio', 'exalto')          |      10.22 |     7
('tergum', 'verto')            |      10.21 |     5
('mehercule', 'hercule')       |      10.21 |    29
('longitudo', 'latitudo')      |      10.18 |     5
('iudas', 'scarioth')          |      10.06 |    13
('saturo', 'fragmentum')       |      10.02 |     5
('exalto', 'humilio')          |      10.00 |     6
('virga', 'ferreus')           |       9.92 |     6
('idolum', 'immolo')           |       9.83 |     6
('terrenus', 'caelestis')      |       9.80 |     5
('fletus', 'dens')             |       9.80 |     7
('tuba', 'cano')               |       9.79 |    18
('circumcisio', 'praeputium')  |       9.78 |    12
('ianuarius', 'februarius')    |       9.76 |     6
('masculus', 'femina')         |       9.71 |     6
('telum', 'coicio')            |       9.70 |     9
('fimbria', 'tango')           |       9.63 |     5
('quemadmodum', 'modum')       |       9.63 |    16
('ovum', 'suppono')            |       9.47 |     6
('maria', 'magdalene')         |       9.45 |    13
('sponsus', 'ieiuno')          |       9.36 |     7
('formianus', 'maias')         |       9.35 |     5
('idus', 'maias')              |       9.31 |     6
('gallus', 'ter')              |       9.29 |     7
('canto', 'canticum')          |       9.23 |     5
('aedificium', 'incendo')      |       9.21 |     9
('graecus', 'latinus')         |       9.17 |     5
('gallus', 'canto')            |       9.14 |     9
('late', 'pateo')              |       9.14 |     6
('caedes', 'incendium')        |       9.13 |     6
('quemadmodum', 'ad')          |       9.10 |    16
('esurio', 'sitio')            |       9.07 |     8
('effundo', 'fiala')           |       9.06 |     8
('macedonia', 'achaia')        |       9.05 |     5
('mensura', 'metior')          |       9.03 |     7
('herodes', 'tetrarches')      |       9.01 |     5
('dexter', 'sinister')         |       9.00 |     6
('rhenus', 'incolo')           |       8.93 |     7
('isaac', 'iacob')             |       8.90 |    14
('forensis', 'domesticus')     |       8.89 |     5
('vinum', 'uter')              |       8.84 |    12
('beelzebub', 'eicio')         |       8.80 |     7
('praeputium', 'circumcisio')  |       8.78 |     6
('abraham', 'isaac')           |       8.77 |    11
('festuca', 'oculus')          |       8.71 |     9
('ignis', 'sulphur')           |       8.71 |     7
('canto', 'ter')               |       8.70 |     6
('gaius', 'valerius')          |       8.66 |     6
('quare', 're')                |       8.64 |    33
('andreas', 'philippus')       |       8.61 |     6
('beelzebub', 'daemonium')     |       8.59 |     5
('vicus', 'aedificium')        |       8.57 |     6
('magdalene', 'maria')         |       8.56 |     7
('caput', 'diadema')           |       8.53 |     5
('mons', 'olivetum')           |       8.53 |     8
('extendo', 'restituo')        |       8.50 |     6
('quartus', 'vigilia')         |       8.49 |     5
('luna', 'stella')             |       8.47 |     7
('claritas', 'stella')         |       8.46 |     5
('fleo', 'lugeo')              |       8.43 |     5
('testimonium', 'perhibeo')    |       8.40 |    46
('acies', 'instruo')           |       8.40 |     9
('lugeo', 'vae')               |       8.37 |     5
('titus', 'labienus')          |       8.36 |     7
('iudaea', 'iordanes')         |       8.27 |     6
('uter', 'vinum')              |       8.26 |     8
('foris', 'intus')             |       8.25 |     6
('pastor', 'ovis')             |       8.21 |     7
('supra', 'demonstro')         |       8.21 |     7
('consummatio', 'saeculum')    |       8.19 |     5
('arbustum', 'vitis')          |       8.19 |     5
